"","Judge.Identification.Number","Judge.Last.Name","Judge.First.Name","Judge.Middle.Name","Birth.year","Place.of.Birth..City.","Place.of.Birth..State.","Gender","Race.or.Ethnicity","Name.of.School","place","name","decade","lon","lat"
"1",1,"Abruzzo","Matthew","T.",1889,"Brooklyn","NY","M","White","Brooklyn Law School","Brooklyn, NY","Abruzzo, Matthew",1880,-73.9441579,40.6781784
"2",7,"Adair","J[ackson]","Leroy",1887,"Clayton","IL","M","White","University of Michigan Law School","Clayton, IL","Adair, J[ackson]",1880,-90.9606897,40.0314366
"3",3295,"Adamson","William","Charles",1854,"Bowdon","GA","M","White","Bowdon College, Georgia","Bowdon, GA","Adamson, William",1850,-85.2532818,33.5378885
"4",13,"Adkins","Jesse","Corcoran",1879,"Knoxville","TN","M","White","Georgetown College Law School (now Georgetown University Law Center)","Knoxville, TN","Adkins, Jesse",1870,-83.9207392,35.9606384
"5",14,"Adler","Simon","Louis",1867,"Seneca Falls","NY","M","White","Cornell University","Seneca Falls, NY","Adler, Simon",1860,-76.7966215,42.9106219
"6",17,"Akerman","Alexander"," ",1869,"Elberton","GA","M","White","Read law","Elberton, GA","Akerman, Alexander",1860,-82.8670839,34.1112226
"7",28,"Allen","Florence","Ellinwood",1884,"Salt Lake City","UT","F","White","Western Reserve University (now Case Western Reserve University)","Salt Lake City, UT","Allen, Florence",1880,-111.8910474,40.7607793
"8",32,"Allred","James","V.",1899,"Bowie","TX","M","White","Cumberland School of Law","Bowie, TX","Allred, James",1890,-97.8486457,33.5589953
"9",2705,"Almond","James","Lindsay",1898,"Charlottesville","VA","M","White","University of Virginia School of Law","Charlottesville, VA","Almond, James",1890,-78.4766781,38.0293059
"10",33,"Alschuler","Samuel"," ",1859,"Chicago","IL","M","White","Read law","Chicago, IL","Alschuler, Samuel",1850,-87.6297982,41.8781136
"11",38,"Amidon","Charles","Fremont",1856,"Clymer","NY","M","White","Hamilton College","Clymer, NY","Amidon, Charles",1850,-79.6299617,42.0208501
"12",41,"Anderson","Albert","Barnes",1857,"Zionsville","IN","M","White","Wabash College","Zionsville, IN","Anderson, Albert",1850,-86.261937,39.9508733
"13",44,"Anderson","George","Weston",1861,"Acworth","NH","M","White","Williams College","Acworth, NH","Anderson, George",1860,-72.2920317,43.2178539
"14",45,"Anderson","Harry","Bennett",1879,"Van Buren County","MI","M","White","University of Chicago","Van Buren County, MI","Anderson, Harry",1870,-86.0121573,42.2459665
"15",2691,"Andrews","Maurice","Neil",1894,"LaFayette","GA","M","White","University of Georgia School of Law","LaFayette, GA","Andrews, Maurice",1890,-85.2818998,34.7048022
"16",52,"Angell","Alexis","Caswell",1857,"Providence","RI","M","White","University of Michigan","Providence, RI","Angell, Alexis",1850,-71.4128343,41.8239891
"17",54,"Arant","Herschel","Whitfield",1887,"Church Hill","AL","M","White","University of Alabama","Church Hill, AL","Arant, Herschel",1880,-73.2954187,41.4173361
"18",62,"Arnold","Thurman","Wesley",1891,"Laramie","WY","M","White","Princeton University","Laramie, WY","Arnold, Thurman",1890,-105.5911007,41.3113669
"19",70,"Atwell","William","Hawley",1869,"Sparta","WI","M","White","Southwestern University","Sparta, WI","Atwell, William",1860,-90.8129118,43.9441328
"20",73,"Avis","John","Boyd",1875,"Deerfield","NJ","M","White","Read law","Deerfield, NJ","Avis, John",1870,-75.131987,39.459043
"21",76,"Bailey","Thomas","Jennings",1867,"Nashville","TN","M","White","Southwestern University","Nashville, TN","Bailey, Thomas",1860,-86.783333,36.166667
"22",78,"Baker","Francis","Elisha",1860,"Goshen","IN","M","White","University of Michigan","Goshen, IN","Baker, Francis",1860,-85.8344383,41.5822716
"23",81,"Baker","William","Eli",1873,"Beverly","WV","M","White","West Virginia Conference Seminary (now West Virginia Wesleyan College)","Beverly, WV","Baker, William",1870,-79.8753457,38.8406633
"24",85,"Baldwin","James","Harris",1876,"St. Joseph","MO","M","White","University of Virginia","St. Joseph, MO","Baldwin, James",1870,-94.846681,39.7674578
"25",89,"Baltzell","Robert","C.",1879,"Lawrence County","IL","M","White","Northern Illinois State Normal School (now Northern Illinois University)","Lawrence County, IL","Baltzell, Robert",1870,-87.7763333,38.7157534
"26",3329,"Barber","Orion","Metcalf",1857,"Jamaica","VT","M","White","Albany Law School","Jamaica, VT","Barber, Orion",1850,-72.7784296,43.1003556
"27",93,"Bard","Guy","Kurtz",1895,"Lincoln","PA","M","White","Franklin and Marshall College","Lincoln, PA","Bard, Guy",1890,-79.851389,40.290833
"28",95,"Barker","William","Julius",1886,"Marietta","GA","M","White","University of Florida College of Law","Marietta, GA","Barker, William",1880,-84.5499327,33.952602
